question,answer,crop,state,district,category
asking about the control measure to control rhizom rot in ginger.,suggested him first to maintain proper drainage facility and to spray mancozeb@2.5gram/liter of water.,,,,
asking about chilli leaf curl virus,--burn the effected plants in a separate area and spray imidacloprid to the plants (2ml/lit of water) @ 3 sprays at 5 days interval,,,,
asking for anthracnose disease in chilli,suggested to spray captan @ 2gm/litre of water.,,,,
wanted to know the names of hybrid varities of ahu rice,"ir- 50 ,ir-36 or govinda use korok",,,,
farmer wants to know about the kisan samman nidhi yojana?,"--किसान सम्मान निधि के बारे में अधिक जानकारी के लिए आप नजदीक के तहसील कार्यालय में संपर्क करे | 011-23382401,011-23381092",,,,
asking about diarrhoea in piglet.,suggested to adminiter neblon powder @ 5 gm twice daily for 5 days.,,,,
asking about dammping off of chilli,advised to spray bevistin 2 gm/lit.,,,,
want to know regarding blight disease in potato,advice to spray indofil m-45 @ 2 g/lit of water,,,,
asking about the root rot in cowpea,suggested him to spray bavistin @ 2gm / l of water,,,,
query about nutrition of pregnant cow,explain in details,,,,
asking about control measure of blight in potato,recommended that application of ridomil gold@2gm/lit of water,,,,
asking about the control of insect problem in cauliflower.,recommended him to apply rogor @ 2ml per liter of water.,,,,
asking about market for seed,--visit district agriculture office,,,,
telling that he has cultivated sali rice i a land of 3 bigha which is being attacked by yellow stem borer and causing damages. asking the control measure for the same.,advised mr. rouf to spray 2.5 litres of chlorpyriphos 20ec in 250 litres of water. the volume suggested is for a land measuring 1 hectare and not to use the same chemical repeatedly.,,,,
querry regarding fungal infection in tomato,recommended to spray bavistin @ 2gm/l water,,,,
asking about the control of gandhi bug.,suggested to apply the jackpot @ 1.5ml/ lit of water.,,,,
asking about fertilier dose,"urea 19 kg, ssp 45 kg,12 kg mop,borax 1 kg",,,,
control measure of turmite of chilli,apply 'tricel 20' @ 2 ml per litre of water,,,,
asking about the fertilizer dose in rice in top dressing,suggested him 4kg urea and 5kg mop/bigha at top dressing,,,,
asking about the control measure to control  late blight disease in potato.,suggested to apply dithane m-45@2.5gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval,,,,
asking about fruit rot disease of tomato,suggested to spray profex super 2ml/litre water 2 times at an interval of 5 days and saaf fungicide 2gm/litre water for the fungus infection.,,,,
query regarding  goatary,beetal  breed can be rear for goatery,,,,
asking about treatment of diarrhoea in calf.,suggested to contact with nearest veterinarian immediatelyy.,,,,
query regarding late blight of potato,advised to apply ridomil gold @ 2gm/lit,,,,
late blight in tomato.,advised to spray indofil m- 45 @ 2 gram / liter water as directed.,,,,
control of insect in flower,recommended him to spray tricel 20ec @ 2 ml/lit of water,,,,
asking about betraceda and teratheba of coconut,advised to spray ragor or dimecron 2ml/lit.,,,,
farmer want to know information about how to control of fungal attack in tomato crop?,recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water,,,,
asking ferilizer dose,suggested recomended dose,,,,
asking about the mushroom cultivation practices,explain in details,,,,
nutrient deficiency in bottle gourd.,advised to spray tracel-2 @ 2 gram/ liter water.,,,,
asking  about kisan credit card,recommended him to go to nearest  nationalized bank,,,,
asking for control of stem rot in ground nut,recommended him to apply mancozeb @ 3 gram per litre of water,,,,
query regarding traumatic injoury of apig,melonex tab orally & hot fomentation on the affected area,,,,
asking that how to get kisan credit card facility from the bank.,"suggested to contact with nearest nationalised bank,marketing and recovery officer for credit facility.",,,,
asking about varities of watermelon,"varities of watermelon are new hampshire midget, asahi yamoto, pusa bedana, sugar baby and faizabadi",,,,
asking about cultural practices of pointed gourd,explain details,,,,
water quality,apply toximar @ 5kg/bigha water area,,,,
query regarding management of wilt.,advise to spray saaf @ 1g/5lts of water.,,,,
asking about fungal wilt of pea,advice to apply bavistin @ 2 gm / litre,,,,
asked about carp culture.,suggested him to apply lime and cowdung at per doses..,,,,
asking about the sowing time of black gram,suggested him to planting august-september,,,,
asking about the fertilizer dose of ash gourd.,"advised him to apply urea 80 gm. , ssp 80 gm., mop 80 gm., per bheti before two days of sowing.",,,,
asking about quality seed of boro paddy,adviced to use 'arize 6444',,,,
asking about bacterial wilt in chilly,advice him to spray streptomycin @ 1gm per litres of water,,,,
asking for fert dose of potato,"recommended him to apply 12 kg urea, 15 kg dap and 11 kg mop per bigha",,,,
asking for control of fruit fly in ash gourd,recommended her to spray malathion 50 ec @ 2 ml per litre of water with 1% jaggery,,,,
asking about the process to get agricultural loan,advised him to visit district agriculture office for details information,,,,
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water,,,,
asking procedure of vermicompost,explain in details,,,,
regarding irrigation after weeding,can be done after one day of weeding,,,,
asked about variety of tomato,advised him to sow namdhari variety,,,,
asking control measure of root rot in bottle gourd,apply blitox-50 @ 2 gram per litre of water,,,,
want to know about fertilizer requirment in ahu paddy,"adviced to apply 6 kg urea, 18 kg ssp and 4 kg mop per bigha",,,,
asking recommended fertilizer dose of colocasia,"apply recommended fertilizer dose for colocasia-urea @ 20 kg,ssp @ 50 kg,mop @ 20 kg ,fym @ 1.5 tonne bigha",,,,
control measure of pest in raya,spray 'classic 20' @ 2 ml per litre of water,,,,
asking about the control of fruit drop in ango and jackfruit,recommended to spray planofix @ 1 ml per 5 litres of water 2 times at 15 days interval,,,,
want to know about sri of paddy cultivation,explained in detail,,,,
asking about the control of insects in ridgegourd,told him to spray tufgor @ 2ml / l of water,,,,
asking for control of sheath rot,recommended him to spray saaf @ 2 gram per litre of water,,,,
query regarding  pm kisan.,-- visit dist. agri. office.,,,,
asking about ussd service,advice to dial *491*103 # and choose option and enjoy the service,,,,
asking about the cultivation practices of citrus,explian in details,,,,
query regarding fish cum poultry arming,detail managemental practice explained,,,,
asking top dressing in rice,suggested him to top dressing with urea @ 4kg and mop@ 3kg/bigha mixing with moist soil,,,,
asking control of panama wilt in banana,apply bavistin @ 2 gram per litre of water to control panama wilt in banana,,,,
asking about the insects pest problem in bottle gourd,application of quinaliphos  2 ml per litre of water,,,,
query regarding kvk address,"dr. chinmoy kr. sarma, kvk dhubri, aau, bilasipara, satber, bilasipara ward no. 6 p.o bilasipara , p.b. no.1 district- dhubri , assam - 783348",,,,
asking for plant protection,adviced to give bavistin @ 2 gm/litre of water,,,,
asking about the variety name of boro paddy,"suggest him to use jyotiprasad,bishnuprasad etc",,,,
asking about some micronutrient for chilli.,"suggested to use products like-tracel-2,multiplex all crops,green harvest crop booster etc.",,,,
asking about the control of boron deficiency,suggest him to apply borax 50 gm/plant,,,,
asked about the improvement in the quality of land for banana trees,told him to apply cifax@ 100ml mix with 10l water and stir well with a stick and broadcast on the pond. repeat after 14 days if not cured.,,,,
asking about the medicine for duck,advice-lixen powder-3gm/lit. of water daily x5 days. ostovet-5ml/lit. of water daily x15 days.  ambiplex-5ml/lit. of water daily x15 days,,,,
asking for the control measure against fruit borers in brinjal.,suggested to spray decis 2.4ec @ 1 milli litre per litre of water.,,,,
asking about the pest control in bhindi,apply decis @ 2ml /litres of water,,,,
asking about the disase problemm in bottle gourd,appication of captan @ 2ml per litre of water,,,,
asking for leaf curling problem,suggested him to spray rogor @ 2 ml per litre of water,,,,
asking about control measure of pseudostem borer,suggested to spray kinadon @ 2ml/liter water,,,,
asking about the land suitable for chilli cultivation.,loamy sandy soil is suitable for chilli cultivation. visit district agriculture office for soil test.,,,,
aksed about the total fish (species wise) needed in single stocking & single harvesting in one hectare,"given as silver carp: 900, catla: 1500, rohu: 1200, grass carp: 600, mrigal: 1200, common carp: 600.",,,,
asking about pm kisan pension scheme,"told him under this scheme, a minimum fixed pension of rs 3,000 per month will be provided to the eligible small and marginal farmers subject to certain exclusion causes on attaining the age of 60 years. fro further assistance contact the vle of respected block",,,,
asking use of multi-micronutrient product for potato,apply multiplex potato @ 2 gram per litre of water at 40-45 days after planting,,,,
fusarium wilt,advised to spray blitox-50 @ 2ml / litre water,,,,
asking for the control measure against blast of rice in paddy.,advised to apply bavistin @ 1 gram per litre of water or hinosan @ 1 milli litre per litre of water.,,,,
query regarding  query regarding a dog[ doggy]--,give  kiwoff puppy & fixotic spray as directed,,,,
asking about the field preparation,advice him to apply malathion powder @ 5 kg/bigha,,,,
anthracnose disease of chilly.,advised to spray captan @ 2 gram/ liter water.,,,,
asking about control measure of bud rot of coconut,told him to apply bordeaux mixture @ 10 ml / lit of water,,,,
query related to pmkisan.,according to your pmkisan status either details are not registered in the portal or rejected due to wrong details. please visit common service center (csc) for further details.,,,,
asking about control of prematured fruit drop in coconut,advice to apply borax 25gm/plant,,,,
